	date	message_from_name	email_mentioned_person	email_from_party
0	2014-10-23	Conservative Party of Canada	Stephen Harper	Conservative Party
1	2014-10-23	Conservative Party of Canada	Nathan Cirillo	Conservative Party
2	2014-10-23	Conservative Party of Canada	Cirillo	Conservative Party
3	2014-10-23	Conservative Party of Canada	Patrice Vincent	Conservative Party
4	2014-10-23	Conservative Party of Canada	Cirillo	Conservative Party
5	2014-10-23	Conservative Party of Canada	Laureen	Conservative Party
6	2014-10-23	Conservative Party of Canada	Ben	Conservative Party
7	2014-10-23	Conservative Party of Canada	Rachel	Conservative Party
8	2014-10-30	Jaime Girard, Conservative Party of Canada	Jaime Girard	Conservative Party
9	2014-10-31	Erin O'Toole, MP	Stephen Harper	Conservative Party
10	2014-10-31	Erin O'Toole, MP	Dad	Conservative Party
11	2014-10-31	Erin O'Toole, MP	Erin O’Toole MP	Conservative Party
12	2014-11-03	Conservative Party of Canada	Justin Trudeau	Conservative Party
13	2014-11-03	Conservative Party of Canada	Thomas Mulcair	Conservative Party
14	2014-11-03	Conservative Party of Canada	Justin Trudeau	Conservative Party
15	2014-11-03	Conservative Party of Canada	Thomas Mulcair	Conservative Party
16	2014-11-04	Dustin Van Vugt, Conservative Party of Canada	Justin Trudeau	Conservative Party
17	2014-11-04	Dustin Van Vugt, Conservative Party of Canada	Dustin Van Vugt	Conservative Party
18	2014-11-05	Fred DeLorey, Conservative Party of Canada	Mike	Conservative Party
19	2014-11-05	Fred DeLorey, Conservative Party of Canada	Justin Trudeau	Conservative Party
20	2014-11-05	Fred DeLorey, Conservative Party of Canada	Justin Trudeau	Conservative Party
21	2014-11-05	Fred DeLorey, Conservative Party of Canada	Fred DeLorey	Conservative Party
22	2014-11-06	Pierre Poilievre, MP	Mike	Conservative Party
23	2014-11-06	Pierre Poilievre, MP	Stephen Harper	Conservative Party
24	2014-11-06	Pierre Poilievre, MP	Justin Trudeau	Conservative Party
25	2014-11-06	Pierre Poilievre, MP	Harper	Conservative Party
26	2014-11-06	Pierre Poilievre, MP	Justin Trudeau	Conservative Party
27	2014-11-06	Pierre Poilievre, MP	Harper	Conservative Party
28	2014-11-06	Pierre Poilievre, MP	Justin Trudeau	Conservative Party
29	2014-11-06	Pierre Poilievre, MP	Stephen Harper	Conservative Party
30	2014-11-06	Pierre Poilievre, MP	Justin Trudeau	Conservative Party
31	2014-11-06	Pierre Poilievre, MP	Harper	Conservative Party
32	2014-11-06	Pierre Poilievre, MP	Justin Trudeau	Conservative Party
33	2014-11-06	Pierre Poilievre, MP	Harper	Conservative Party
34	2014-11-06	Pierre Poilievre, MP	Pierre Poilievre	Conservative Party
35	2014-11-06	Pierre Poilievre, MP	Nepean-Carleton	Conservative Party
36	2014-11-08	Fred DeLorey, Conservative Party of Canada	Mike	Conservative Party
37	2014-11-08	Fred DeLorey, Conservative Party of Canada	Mike	Conservative Party
38	2014-11-08	Fred DeLorey, Conservative Party of Canada	Fred DeLorey	Conservative Party
39	2014-11-09	Cory Hann, Conservative Party of Canada	Mike	Conservative Party
40	2014-11-09	Cory Hann, Conservative Party of Canada	Cory Hann	Conservative Party
41	2014-11-09	Cory Hann, Conservative Party of Canada	Justin Trudeau	Conservative Party
42	2014-11-10	Chris Alexander, MP	Mike	Conservative Party
43	2014-11-10	Chris Alexander, MP	Stephen Harper	Conservative Party
44	2014-11-10	Chris Alexander, MP	Chris Alexander	Conservative Party
45	2014-11-10	Chris Alexander, MP	Ajax-Pickering	Conservative Party
46	2014-11-11	Fred DeLorey, Conservative Party of Canada	Mike	Conservative Party
47	2014-11-11	Fred DeLorey, Conservative Party of Canada	Stephen Harper	Conservative Party
48	2014-11-11	Fred DeLorey, Conservative Party of Canada	Justin Trudeau	Conservative Party
49	2014-11-11	Fred DeLorey, Conservative Party of Canada	Justin Trudeau's	Conservative Party
50	2014-11-11	Fred DeLorey, Conservative Party of Canada	Justin Trudeau	Conservative Party
51	2014-11-11	Fred DeLorey, Conservative Party of Canada	Justin Trudeau's	Conservative Party
52	2014-11-11	Fred DeLorey, Conservative Party of Canada	Harper	Conservative Party
53	2014-11-11	Fred DeLorey, Conservative Party of Canada	Fred DeLorey	Conservative Party
54	2014-11-14	Kevin Sorenson, MP	Mike	Conservative Party
55	2014-11-14	Kevin Sorenson, MP	Joe Oliver	Conservative Party
56	2014-11-14	Kevin Sorenson, MP	Stephen Harper	Conservative Party
57	2014-11-14	Kevin Sorenson, MP	Harper	Conservative Party
58	2014-11-14	Kevin Sorenson, MP	Kevin Sorenson	Conservative Party
59	2014-11-14	Kevin Sorenson, MP	Crowfoot	Conservative Party
60	2014-11-16	Ted Opitz, MP	Mike	Conservative Party
61	2014-11-16	Ted Opitz, MP	Stephen Harper	Conservative Party
62	2014-11-16	Ted Opitz, MP	Ted Opitz	Conservative Party
63	2014-11-18	Stephanie Dunlop, Conservative Party of Canada	Mike	Conservative Party
64	2014-11-18	Stephanie Dunlop, Conservative Party of Canada	Stephanie Dunlop	Conservative Party
65	2014-11-19	Conservative Party of Canada	Mike	Conservative Party
66	2014-11-19	Conservative Party of Canada	Pat Perkins	Conservative Party
67	2014-11-19	Conservative Party of Canada	Jim Eglinski	Conservative Party
68	2014-11-20	Candice Bergen, MP	Mike	Conservative Party
69	2014-11-20	Candice Bergen, MP	Harper	Conservative Party
70	2014-11-20	Candice Bergen, MP	Justin Trudeau	Conservative Party
71	2014-11-20	Candice Bergen, MP	PM Harper	Conservative Party
72	2014-11-20	Candice Bergen, MP	Justin Trudeau	Conservative Party
73	2014-11-20	Candice Bergen, MP	Chatelaine	Conservative Party
74	2014-11-20	Candice Bergen, MP	Justin Trudeau	Conservative Party
75	2014-11-20	Candice Bergen, MP	PM Harper	Conservative Party
76	2014-11-20	Candice Bergen, MP	Justin Trudeau	Conservative Party
77	2014-11-20	Candice Bergen, MP	PM Harper	Conservative Party
78	2014-11-20	Candice Bergen, MP	Justin Trudeau	Conservative Party
79	2014-11-20	Candice Bergen, MP	Justin Trudeau	Conservative Party
80	2014-11-20	Candice Bergen, MP	Harper	Conservative Party
81	2014-11-20	Candice Bergen, MP	Justin Trudeau	Conservative Party
82	2014-11-20	Candice Bergen, MP	Stephen Harper	Conservative Party
83	2014-11-20	Candice Bergen, MP	Harper	Conservative Party
84	2014-11-20	Candice Bergen, MP	Justin Trudeau?	Conservative Party
85	2014-11-20	Candice Bergen, MP	Harper	Conservative Party
